,pos,nega,neu
740,17,10,7
741,11,7,11
742,21,12,11
743,14,7,4
744,10,4,2
745,19,9,8
746,22,11,8
747,9,4,2
748,20,13,11
749,27,15,14
750,16,10,10
751,22,17,13
752,17,10,9
753,10,5,5
754,18,16,11
755,6,3,2
756,11,10,7
757,11,7,7
758,41,23,20
759,27,18,14
760,9,6,2
761,13,12,9
762,12,7,8
763,23,9,7
764,18,12,8
765,22,12,8
766,21,10,12
767,16,9,9
768,18,12,9
769,40,31,19
770,8,3,1
771,32,25,14
772,21,15,8
773,6,2,1
774,5,5,1
775,14,10,10
776,27,21,14
777,26,16,13
778,14,7,4
779,20,11,8
780,11,5,4
781,10,7,5
782,29,22,19
783,20,13,13
784,9,3,2
785,35,18,12
786,18,13,10
787,30,20,19
788,6,3,3
789,11,9,9
790,31,33,17
791,22,15,9
792,12,5,7
793,34,26,15
794,6,4,4
795,21,14,13
796,17,8,8
797,20,13,11
798,49,32,15
799,20,14,8
800,35,24,17
801,35,20,14
802,12,7,3
803,11,5,3
804,11,9,3
805,22,16,9
806,10,7,4
807,4,3,2
808,23,12,8
809,18,13,7
810,14,9,8
811,8,4,4
812,15,10,15
813,23,12,7
814,23,14,10
815,38,29,17
816,7,4,4
817,15,9,8
818,13,7,8
819,20,7,2
820,20,13,8
821,22,15,6
822,12,7,5
823,15,9,5
824,14,10,7
825,9,7,2
826,8,8,2
827,12,9,6
828,6,3,1
829,10,10,6
830,20,13,9
831,6,2,4
832,42,27,18
833,17,12,8
834,12,8,5
835,17,7,4
836,17,7,5
837,15,5,5
838,18,12,6
839,8,8,2
840,24,15,15
841,13,10,9
842,30,20,13
843,16,13,6
844,9,9,6
845,15,9,5
846,11,5,3
847,40,24,28
848,16,9,8
849,14,2,1
850,8,5,3
851,19,14,12
852,9,5,4
853,18,10,11
854,16,11,5
855,15,6,5
856,24,11,7
857,10,5,8
858,14,8,5
859,29,16,12
860,25,16,12
861,13,9,6
862,20,12,10
863,10,8,8
864,23,13,11
865,22,7,6
866,14,6,3
867,16,8,7
868,6,5,4
869,14,9,7
870,17,12,11
871,15,10,8
872,11,8,5
873,23,17,10
874,11,5,3
875,30,16,11
876,19,8,4
877,7,3,2
878,10,6,5
879,7,3,1
880,19,13,11
881,21,16,9
882,25,14,11
883,37,17,16
884,14,4,3
885,26,13,8
886,13,8,6
887,18,14,11
888,20,13,11
889,14,5,1
890,11,7,7
891,15,10,9
892,36,20,15
893,18,16,9
894,21,16,10
895,13,13,9
896,13,10,3
897,26,18,14
898,17,11,10
899,11,5,3
900,20,12,11
901,24,18,16
902,9,4,3
903,6,3,1
904,44,17,12
905,7,4,2
906,22,18,18
907,11,3,3
908,15,9,6
909,8,2,1
910,8,7,2
911,13,9,6
912,17,11,9
913,13,5,5
914,18,9,6
915,13,11,8
916,6,5,5
917,32,20,12
918,7,5,4
919,14,11,10
920,22,14,8
921,16,9,8
922,21,13,9
923,19,14,12
924,11,7,3
925,13,8,5
926,25,16,8
927,17,6,8
928,27,19,11
929,9,2,1
930,15,10,15
931,38,23,13
932,5,1,1
933,10,7,3
934,28,15,10
935,10,7,1
936,38,22,16
937,36,18,9
938,11,6,3
939,20,7,5
940,8,3,3
941,32,18,12
942,21,9,9
943,22,15,14
944,8,6,5
945,11,6,5
946,8,5,1
947,16,13,8
948,35,27,18
949,21,10,8
950,10,3,4
951,7,4,2
952,20,8,7
953,13,10,10
954,17,18,10
955,26,18,9
956,9,4,2
957,18,14,6
958,19,8,9
959,37,27,22
960,15,10,9
961,16,9,5
962,18,12,9
963,30,19,14
964,10,4,1
965,44,28,27
966,61,39,63
967,11,7,6
968,37,30,25
969,37,20,13
970,8,4,2
971,11,5,4
972,10,7,2
973,29,13,10
974,10,8,5
975,13,11,7
976,19,10,12
977,19,11,9
978,46,29,26
979,13,10,7
980,21,17,7
981,20,12,8
982,20,11,12
983,12,10,5
984,17,12,11
985,46,22,14
986,6,3,2
987,6,5,5
988,13,13,6
989,24,17,14
990,11,5,3
991,32,19,12
992,13,7,6
993,21,7,5
994,13,9,7
995,13,3,5
996,34,23,20
997,11,8,5
998,19,13,11
999,17,20,5
1000,14,8,17
1001,10,4,1
